alert date,subject,source,title,description,url,body,keywords
2025-02-20 01:00:08+00:00,['El Salvador minería'],laprensagrafica.com,Gobierno prevé que demanda de energía crezca hasta 6% por nuevas construcciones,"El titular de la Dirección General de Energía, Hidrocarburos y Minas (DGEHM), Daniel Álvarez, dijo que con las construcciones actuales, ...",https://www.laprensagrafica.com/economia/Gobierno-preve-que-demanda-de-energia-crezca-hasta-6--por-nuevas-construcciones-20250218-0035.html,,
2025-02-18 01:00:16+00:00,['El Salvador minería'],diario.elmundo.sv,Presidente de CESTA descarta que reciban dinero de USAID: “Nos financía gente de la diáspora”,"... minería, como Voces del Futuro, y ... El Salvador (BINAES) en el Centro Histórico del distrito de San Salvador.",https://diario.elmundo.sv/politica/presidente-de-cesta-descarta-que-reciban-dinero-de-usaid-nos-financia-gente-de-la-diaspora,,
2025-02-18 01:00:16+00:00,['El Salvador minería'],laprensagrafica.com,"Lanzan activo digital, COINGT, para Corredor Interoceánico - La Prensa Gráfica",El Consorcio Interoceánico de Guatemala (CIG) anunció en El Salvador este domingo el ... minería. Foto: Arlen Cortez. El Salvador · Ambientalistas ...,https://www.laprensagrafica.com/elsalvador/Lanzan-activo-digital-para-Corredor-Interoceanico-20250216-0034.html,,
2025-02-18 01:00:16+00:00,['El Salvador minería'],laprensagrafica.com,El derrumbe en una mina de oro en Mali deja 42 muertos y varios heridos,El Salvador · Curiosidades · Estados Unidos · Club del vinagre y el bicarbonato · Reformas a Ley de Tránsito. Ad. InternacionalesMinería metálica. El ...,https://www.laprensagrafica.com/internacional/El-derrumbe-en-una-mina-de-oro-en-Mali-deja-42-muertos-y-varios-heridos-20250216-0003.html,,
2025-02-18 01:00:16+00:00,['El Salvador minería'],elsalvador.com,"Nuevo Rosales con 90 % de avance, según Bukele - El Diario de Hoy",EPAPER Donald Trump|Fotomultas|Minería|Torneo Clausura 2025|Espectáculos ... El nuevo edificio del Hospital Nacional Rosales tiene un avance del ...,https://www.elsalvador.com/noticias/nacional/hospital-rosales-nayib-bukele/1200824/2025/,,
2025-02-05 01:00:09+00:00,['El Salvador minería'],elsalvador.com,Mina Los Encuentros: la gran productora de oro y plata del siglo XIX en El Salvador,"La explotación minera en El Salvador fue reconocida internacionalmente por su gran productividad; sin embargo, su historia esta marcada por la ...",https://www.elsalvador.com/fotogalerias/noticias-fotogalerias/mina-los-encuentros-el-salvador-oro-plata-corrupcion/1196155/2025/,,
2025-02-05 01:00:09+00:00,['El Salvador minería'],elsalvador.com,Vestigios de una mina en el oriente del país - Noticias de El Salvador - El Diario de Hoy,Las minas El Divisadero eran de las más importantes de la franja minera de oriente; la parte más extensa la abarcaba Los Encuentros y estaba formada ...,https://www.elsalvador.com/noticias/nacional/vestigios-de-una-mina-en-el-oriente-del-pais/1197915/2025/,,
2025-02-05 01:00:09+00:00,['El Salvador minería'],laprensagrafica.com,"Ambientalistas de Santa Marta no se presentan a repetición de juicio por ""falta de garantías ...",Túnel de una mina en San Sebastián. Foto LPG: Dennis Argueta. Impactos ocultos de la minería en El Salvador: demandas y tragedias en la historia ( ...,https://www.laprensagrafica.com/elsalvador/Ambientalistas-de-Santa-Marta-no-se-presentan-a-repeticion-de-juicio-por-falta-de-garantias-de-justicia-20250203-0024.html,,
2025-02-05 01:00:09+00:00,['El Salvador minería'],laprensagrafica.com,Opiniones por encargo - La Prensa Gráfica,"... de la minería, quedan relegados al margen del debate. Ad. En El Salvador, la figura del ""analista político"" ha alcanzado un protagonismo ...",https://www.laprensagrafica.com/opinion/Opiniones-por-encargo-20250131-0090.html,,
2025-01-22 01:00:08+00:00,['El Salvador minería'],laprensagrafica.com,Más de 100 años de minería - La Prensa Gráfica,"De hecho, a lo largo de los años se registraron graves daños ambientales debido a la presencia de los metales utilizados en esos procesos industriales ...",https://www.laprensagrafica.com/opinion/Mas-de-100-anos-de-mineria-20250117-0075.html,,
2025-01-22 01:00:08+00:00,['El Salvador minería'],elfaro.net,Bukele's Mining Law Draws Hundreds of Protestors in San Salvador - El Faro,"This protest was the largest against the law since it was announced by de facto President Nayib Bukele in November. During the rally, the Catholic ...",https://elfaro.net/en/202501/ef_photo/27712/bukele-rsquo-s-mining-law-draws-hundreds-of-protestors-in-san-salvador,,
2025-01-22 01:00:08+00:00,['El Salvador minería'],elsalvador.com,Ciudadanos exigen en protesta la derogación de la Ley de Minería en El Salvador,"La protesta fue convocada a través de redes sociales para crear un espacio de expresión de la sociedad civil, que no está de acuerdo con esta ...",https://www.elsalvador.com/fotogalerias/noticias-fotogalerias/protestas-sociales-mineria-binaes-san-salvador-centro-historico-el/1194850/2025/,,
2025-01-22 01:00:08+00:00,['El Salvador minería'],diario.elmundo.sv,"El Salvador en la segunda era Trump: deportaciones, proteccionismo y China",Las deportaciones masivas y los efectos inflacionarios de una política proteccionista a la economía estadounidense parecen las consecuencias más ...,https://diario.elmundo.sv/politica/el-salvador-en-la-segunda-era-trump-deportaciones-proteccionismo-y-china,,
2025-01-09 01:18:26+00:00,['El Salvador minería'],caritas.sv,"La mayoría de la población salvadoreña dice SÍ a la Vida, NO a la minería.","En menos de 12 días la Conferencia Episcopal de El Salvador reiteró su rechazo a la explotación minera metálica con dos comunicados, en los que dejan ...",https://www.caritas.sv/nuestro-trabajo/noticias/1131-la-mayoria-de-la-poblacion-salvadorena-dice-si-a-la-vida-no-a-la-mineria,,
2025-01-09 01:18:26+00:00,['El Salvador minería'],noalamineria.org.sv,Comunicado: el próximo 3 de febrero se registrará un precedente nefasto en la justicia salvadoreña,"Más de 30 redes y alianzas del movimiento social salvadoreño, incluida la Mesa Nacional Frente a la Minería Metálica en El Salvador, ...",https://noalamineria.org.sv/2025/01/08/comunicado-el-proximo-3-de-febrero-se-registrara-un-precedente-nefasto-en-la-justicia-salvadorena/,,
2025-01-09 01:18:26+00:00,['El Salvador minería'],izcanal.org,"Marcelo Rivera, ambientalista asesinado en San Isidro en 2009 - Izcanal","El legado de Rivera ha sido fundamental en la lucha contra la minería metálica en El Salvador. Su activismo contribuyó a la aprobación, en marzo de ...",https://izcanal.org/marcelo-rivera-ambientalista-asesinado-en-san-isidro-en-2009/,,
2025-01-11 01:00:28+00:00,['El Salvador minería'],diario.elmundo.sv,"Explotación minera en San Isidro, Cabañas, causó la pérdida de 20 espejos de agua","Esa es una implicación que tendrá El Salvador”, aseveró. McKinley destacó que la mina San Martín, en Honduras, en 9 años de operación provocó que un ...",https://diario.elmundo.sv/nacionales/explotacion-minera-en-san-isidro-cabanas-causo-la-perdida-de-20-espejos-de-agua-experto-en-mineria,,
2025-01-11 01:00:28+00:00,['El Salvador minería'],revistafactum.com,La minería o la defensa de la vida - Revista Factum,El actual debate en El Salvador en torno a la reactivación de la explotación minera nos pone nuevamente ante un dilema ético.,https://www.revistafactum.com/mineria-defensa-vida/,,
2025-01-11 01:00:28+00:00,['El Salvador minería'],diario.elmundo.sv,William Soriano: estudios en minería “se tomarán en cuenta para tomar decisiones”,"El diputado William Soriano, de Nuevas Ideas, aseveró que serán los resultados de los estudios de minería que se realicen en El Salvador “los que ...",https://diario.elmundo.sv/politica/william-soriano-estudios-en-mineria-se-tomaran-en-cuenta-para-tomar-decisiones,,
2025-01-11 01:00:28+00:00,['El Salvador minería'],laprensagrafica.com,Deslumbrados por el oro - La Prensa Gráfica,"El Salvador tiene 20 mil Kms2 y 6.4 millones de habitantes, deslumbrados por el ... La minería a cielo abierto representa el 70% de la extracción ...",https://www.laprensagrafica.com/opinion/Deslumbrados-por-el-oro-20250109-0083.html,,
2025-02-17 01:00:08+00:00,['El Salvador minería'],laprensagrafica.com,Ambientalistas contra la minería denuncian ataques y campañas de desprestigio,"""Los intereses extractivistas en El Salvador junto con el gobierno han estado orquestando campañas de desprestigio de forma sistemática para dañar la ...",https://www.laprensagrafica.com/elsalvador/Ambientalistas-contra-la-mineria-denuncian-ataques-y-campanas-de-desprestigio-20250215-0018.html,,
2025-02-17 01:00:08+00:00,['El Salvador minería'],elsalvador.com,Ambientalistas denuncian persecución y hostigamiento por oponerse a la minería,... minería en el país. Foto EDH/ Menly Gonzalez. Reitera su rechazo a la minería metálica en El Salvador y exige al gobierno que derogue la ley que ...,https://www.elsalvador.com/noticias/nacional/ambientalistas-denuncian-persecucion-y-hostigamiento-por-oponerse-a-mineria/1200639/2025/,,
2025-02-17 01:00:08+00:00,['El Salvador minería'],diario.elmundo.sv,Ambientalistas en contra de la minería denuncian ataques digitales de parte del gobierno,"Obispo De la Iglesia Católica Antigua de El Salvador. El religioso dijo que aún no han tenido ataques físicos, y esperan que eso no suceda, aunque ya ...",https://diario.elmundo.sv/nacionales/ambientalistas-en-contra-de-la-mineria-denuncian-ataques-digitales-de-parte-del-gobierno,,
2025-02-17 01:00:08+00:00,['El Salvador minería'],elsalvador.com,Combatir la corrupción - Noticias de El Salvador - El Diario de Hoy,"La ley que permite la minería en el país, a pesar del rechazo total del pueblo y de las principales instituciones, es un tema donde la corrupción ...",https://www.elsalvador.com/opinion/editoriales/lucha-contra-la-corrupcion-/1200638/2025/,,
2025-02-03 01:00:08+00:00,['El Salvador minería'],laprensagrafica.com,Presentan plan de saneamiento para los ríos Matalapa y Acelhuate - La Prensa Gráfica,"Túnel de una mina en San Sebastián. Foto LPG: Dennis Argueta. El Salvador · La sombra de la minería: demandas, asesinatos y manipulaciones (Parte II).",https://www.laprensagrafica.com/elsalvador/Presentan-plan-de-saneamiento-para-los-rios-Matalapa-y-Acelhuate-20250201-0022.html,,
2025-02-03 01:00:08+00:00,['El Salvador minería'],elsalvador.com,De la sonrisa al miedo - El Diario de Hoy,"Pedimos al Divino Salvador del Mundo que sea pronto. Por Teresa Guevara ... minas de El Dorado. “Nos contaminaron los ríos, se murió nuestro ...",https://www.elsalvador.com/opinion/editoriales/mineria-/1197616/2025/,,
2025-02-03 01:00:08+00:00,['El Salvador minería'],laprensagrafica.com,Actualizan precio del gas para febrero: estas son las nuevas tarifas por cilindro,"Este sábado, la Dirección General de Energía, Hidrocarburos y Minas actualizó los precios del Gas Licuado del Petróleo (GLP) para El Salvador. La ...",https://www.laprensagrafica.com/economia/Actualizan-precio-del-gas-para-febrero-estas-son-las-nuevas-tarifas-por-cilindro-20250201-0031.html,,
2025-02-03 01:00:08+00:00,['El Salvador minería'],lapagina.com.sv,Subsidio al gas licuado se mantiene estable para el mes de febrero - Diario La Página,"La Dirección de Energía, Hidrocarburos y Minas, anunció los precios ... © 2024 Diario La Página - Noticias de El Salvador. No Result. View All ...",https://lapagina.com.sv/nacionales/subsidio-al-gas-licuado-se-mantiene-estable-para-el-mes-de-febrero/,,
2025-02-04 01:00:18+00:00,['El Salvador minería'],elsalvador.com,"CONADAM: ""Los proyectos mineros se vuelven una zona de sacrificio"" - El Diario de Hoy","La CONADAM reafirmó su desacuerdo con la reactivación de la minería en El Salvador, los ataques a defensores ambientales y la explotación de otros ...",https://www.elsalvador.com/noticias/nacional/mineria-medio-ambiente-contaminacion-del-agua/1197667/2025/,,
2025-02-04 01:00:18+00:00,['El Salvador minería'],lapagina.com.sv,Bukele cuestiona a opositores de la minería y señala su silencio ante la violencia en El Salvador,"El presidente Nayib Bukele criticó a quienes se oponen a la minería metálica en el país, acusándolos de haber guardado silencio cuando la ...",https://lapagina.com.sv/nacionales/bukele-cuestiona-a-opositores-de-la-mineria-y-senala-su-silencio-ante-la-violencia-en-el-salvador/,,
2025-02-04 01:00:18+00:00,['El Salvador minería'],diariolahuella.com,Presidente Bukele cuestiona críticas sobre la minería metálica y descalifica postura de ...,"El Presidente Nayib Bukele expresó su descontento con quienes critican la minería metálica en El Salvador, al tiempo que les recordó su actitud ...",https://diariolahuella.com/presidente-bukele-cuestiona-criticas-sobre-la-mineria-metalica-y-descalifica-postura-de-iglesia-catolica/,,
2025-02-04 01:00:18+00:00,['El Salvador minería'],diario.elmundo.sv,Bukele responde a las críticas de la Iglesia Católica sobre la minería y les increpa su papel ...,El arzobispo José Luis Escobar Alas dijo el viernes que “estamos pidiendo a la Asamblea Legislativa que reconsidere la aprobación de la Ley de ...,https://diario.elmundo.sv/politica/bukele-responde-a-las-criticas-de-la-iglesia-catolica-sobre-la-mineria-y-les-increpa-su-papel-en-la-tregua,,
2025-02-19 01:00:07+00:00,['El Salvador minería'],elsalvador.com,Empresa relacionada con Minera Titan ya compró 3 terrenos en Cabañas - El Diario de Hoy,"Tres terrenos, cuyo tamaño total equivale a nueve veces y media todo el parque Cuscatlán de San Salvador, fueron comprados en San Isidro, Cabañas ...",https://www.elsalvador.com/noticias/nacional/empresa-relacionada-minera-titan-compro-tres-terrenos-cabanas/1200890/2025/,,
